vectorizer_name,classifer,accuracy,precision,recall,f1,confusion_matrix
count,nb,0.8928742228598756,0.879110251450677,0.9017857142857143,0.8903036238981391,"[[909  99]
 [125 958]]"
count,lr,0.9110473457675753,0.8862781954887218,0.935515873015873,0.9102316602316602,"[[943  65]
 [121 962]]"
tfidf,nb,0.8986131037780966,0.8761814744801513,0.9196428571428571,0.8973862536302033,"[[927  81]
 [131 952]]"
tfidf,lr,0.9230033476805356,0.8969072164948454,0.9494047619047619,0.9224096385542169,"[[957  51]
 [110 973]]"
